Date,Close/Last,Volume,Open,High,Low,Day
08/08/2024,630.35,3283542,621.99,632.29,616.02,134
08/07/2024,611.48,3187791,616.065,632,610.64,135
08/06/2024,609.57,4319057,600.62,622.45,600.62,136
08/05/2024,598.55,4044235,587.04,604.5627,587.04,137
08/02/2024,613.64,3523003,620.98,625.27,608.35,138
08/01/2024,624.85,3720573,629.25,646.7099,617.61,139
07/31/2024,628.35,3134877,626.57,633.5999,622.58,140
07/30/2024,622.58,3496609,630.17,634.69,617.0001,141
07/29/2024,626.96,2400537,634.61,634.61,623.93,142
07/26/2024,631.37,3120659,645,646.9899,629.77,143
07/25/2024,634.09,4554539,641,649.98,621.7001,144
07/24/2024,635.99,4888163,635.74,652.42,632.6744,145
07/23/2024,642.76,2463579,647.5,649.91,641.0001,146
07/22/2024,647.5,5219077,639.5,656.29,632.6,147
07/19/2024,633.34,9815631,660.64,678.97,629.1201,148
07/18/2024,643.04,7575763,656.6,657.0395,639.165,149
07/17/2024,647.46,4017277,650,650.45,639.47,150
07/16/2024,656.32,2685706,661.8,663.675,649.13,151
07/15/2024,656.45,3208763,647.5,667.54,646.63,152
07/12/2024,647.6,3355197,652.75,655.92,643.7075,153
07/11/2024,652.75,5111928,672.485,672.485,647.44,154
07/10/2024,677.65,2651928,685.02,687.22,673.16,155
07/09/2024,685.74,2599474,690,695.27,684.72,156
07/08/2024,685.74,1930786,687,688.86,681.485,157
07/05/2024,690.65,2659065,682.51,697.49,677.23,158
07/03/2024,682.51,1403545,677.48,683.7499,675.5,159
07/02/2024,679.58,2411426,673.54,681.74,670.07,160
07/01/2024,673.61,2212826,674.89,675.02,663.78,161
06/28/2024,674.88,3412391,679,687,673.08,162
06/27/2024,684.34,2404849,679.35,688.57,678.14,163
06/26/2024,677.69,3545815,672.41,682.96,670.02,164
06/25/2024,672.41,2278768,673.44,673.665,662.3,165
06/24/2024,669.02,3916335,685,685.5,664.5,166
06/21/2024,686.12,4557086,683.26,686.9,678.1,167
06/20/2024,679.03,2585089,681.8,689.88,673.7203,168
06/18/2024,685.67,2943775,675.63,687.06,674.64,169
06/17/2024,675.83,3631184,669.11,682.7099,665.1101,170
06/14/2024,669.38,4447116,655.05,675.58,652.64,171
06/13/2024,653.26,1863587,644,655.25,642.35,172
06/12/2024,650.06,2094381,652.21,655.78,643.11,173
06/11/2024,648.55,2167417,640.72,650.19,640.52,174
06/10/2024,644.5,2066759,641.01,644.79,635.59,175
06/07/2024,641.47,1876631,649.38,650.4,640.2401,176
06/06/2024,648.52,2466664,644.89,657.99,644.2368,177
06/05/2024,650.27,2682614,634.02,651.25,628.25,178
06/04/2024,631.62,3008151,633.78,635.2299,626.44,179
06/03/2024,633.79,2323506,645.215,646.78,627.27,180
05/31/2024,641.62,4071023,644.01,648.58,628.3,181
05/30/2024,647.66,2393354,653.52,656.4899,644.73,182
05/29/2024,654.62,3695935,644.13,664.25,643.89,183
05/28/2024,649,2609451,647.05,649.75,643.03,184
05/24/2024,646.75,2615260,639.4,652,637.6,185
05/23/2024,635.67,2313939,642.34,642.71,630,186
05/22/2024,640.47,2176174,647.14,649.25,638.12,187
05/21/2024,650.61,2920155,636.76,650.88,634.22,188
05/20/2024,640.82,3857853,620.4,644.37,619.52,189
05/17/2024,621.1,3782708,617,625.79,614.7141,190
05/16/2024,610.52,3056350,615.75,618.34,609.09,191
05/15/2024,613.52,5670607,618.57,624.1,609.1,192
05/14/2024,613.66,2792358,615.17,621.48,608.4,193
05/13/2024,616.59,2086197,614.3,618.219,606.83,194
05/10/2024,610.87,2653586,619,623.98,605.06,195
05/09/2024,612.09,2065375,614.4,615.72,605.75,196
05/08/2024,609.47,3093904,601.63,618.22,601.63,197
05/07/2024,606,3614092,596.28,606.05,591.32,198
05/06/2024,596.97,3686337,581.82,597.34,580.25,199
05/03/2024,579.34,3307524,566,580.26,565.16,200
05/02/2024,565.15,3068228,556.02,565.46,555.59,201
05/01/2024,551.71,3473233,547.84,560.39,544.25,202
04/30/2024,550.64,3361492,560,560,549.375,203
04/29/2024,559.49,2508882,559.18,559.64,554.24,204
04/26/2024,561.23,4332593,558.21,562.92,553.19,205
04/25/2024,564.8,3807101,549.46,566.54,545.705,206
04/24/2024,555.12,5355312,574.31,576.907,551.3,207
04/23/2024,577.75,4975520,556.49,579.21,555.28,208
04/22/2024,554.6,8597651,550.66,558.61,542.01,209
04/19/2024,555.04,16449700,567.88,579,552.16,210
04/18/2024,610.56,8468407,612.1,621.33,605.435,211
04/17/2024,613.69,3312222,620.97,620.97,607.71,212
04/16/2024,617.52,3519122,607.5,622.45,607.5,213
04/15/2024,607.15,3085394,630.17,630.17,603.871,214
04/12/2024,622.83,2959269,628.23,633.1199,618.915,215
04/11/2024,628.78,2662662,624.42,631.66,617.24,216
04/10/2024,618.58,2806248,610.97,620.14,609.34,217
04/09/2024,618.2,2146635,631.99,631.99,615.6347,218
04/08/2024,628.41,2145731,636.39,639,628.11,219
04/05/2024,636.18,3378842,624.92,637.91,622.71,220
04/04/2024,617.14,3064349,633.21,638,616.58,221
04/03/2024,630.08,2931231,612.745,630.41,611.5,222
04/02/2024,614.21,2029217,611,615.03,605.5101,223
04/01/2024,614.31,2115925,608,615.11,605.571,224
03/28/2024,607.33,3708803,614.99,615,601.59,225
03/27/2024,613.53,2628267,629.01,631.35,610.73,226
03/26/2024,629.24,2804453,625.2,634.3899,619.1836,227
03/25/2024,627.46,1803264,627.9,630.46,623.16,228
03/22/2024,628.01,2135688,624.16,629.05,621,229
03/21/2024,622.71,2507671,630.65,634.3617,622.33,230
03/20/2024,627.69,2639509,619.95,629.505,618.34,231
03/19/2024,620.74,2142613,615.62,621.28,608,232
03/18/2024,618.39,3344244,613.56,627.41,610.4481,233
03/15/2024,605.88,6671629,622.92,622.92,603.82,234
03/14/2024,613.01,3120452,615,620.8,607.35,235
03/13/2024,609.45,2192094,613.37,614.8499,607.21,236
03/12/2024,611.08,2821631,600.21,615.3,596.27,237
03/11/2024,600.93,2500940,608.08,611,600.37,238
03/08/2024,604.82,2777243,608.27,616.09,600.84,239
03/07/2024,608.51,2742805,599.34,610.53,595.9,240
03/06/2024,597.69,2469592,602.99,607.93,593.5555,241
03/05/2024,598.5,3849563,610.1,610.91,592,242
03/04/2024,615.83,3020306,621.56,624.42,615.08,243
03/01/2024,619.34,4270305,599.81,620.28,599.5,244
02/29/2024,602.92,3572082,604.25,604.5161,595.16,245
02/28/2024,596.48,2605242,595.79,598.17,590.01,246
02/27/2024,601.67,4489355,595,605.36,592.33,247
02/26/2024,587.65,2393712,583.56,590.75,583.27,248
02/23/2024,583.56,2568852,586.4,592.43,579.82,249
02/22/2024,588.47,3526597,582.75,590.85,578.885,250
02/21/2024,573.35,2281143,573.51,575.775,567.32,251
02/20/2024,575.13,3124236,580.18,586,569.66,252
02/16/2024,583.95,4325689,596.95,597,577.46,253
02/15/2024,593.46,5220938,581.91,593.77,580.32,254
02/14/2024,579.33,5634226,567.26,581.248,564.34,255
02/13/2024,554.52,3511453,550.8,559.1999,549,256
02/12/2024,557.85,3608487,560.36,568.44,557,257
02/09/2024,561.32,3055698,565,566,558.1,258
02/08/2024,558.53,3175468,560.55,563.7,555.74,259
02/07/2024,559.3,4373591,558.16,567.8,554.98,260
02/06/2024,555.88,2840300,564.12,566.3399,554.37,261
02/05/2024,562.06,4143099,562.47,575.75,557.195,262
02/02/2024,564.64,4032843,564.52,567.8,562.37,263
02/01/2024,567.51,3174002,567.02,572.66,563.83,264
01/31/2024,564.11,4857599,562.85,572.15,562.045,265
01/30/2024,562.85,6181798,567.32,570.88,560.82,266
01/29/2024,575.79,6905390,571.35,578.5499,562.68,267
01/26/2024,570.42,12770570,561.81,579.64,558.4319,268
01/25/2024,562,9451915,551.95,563.46,548.46,269
01/24/2024,544.87,26432800,537.75,562.5,537.07,270
01/23/2024,492.19,15506020,492,498.96,481.4,271
01/22/2024,485.71,5212309,487.55,489.8,479.9,272
01/19/2024,482.95,5672351,484.98,485.67,476.06,273
01/18/2024,485.31,4054399,480.03,485.77,478.02,274
01/17/2024,480.33,4894593,484.5,486.21,475.2642,275
01/16/2024,481.24,4678974,490,494.15,478.02,276
01/12/2024,492.16,5003718,500.51,500.79,490.61,277
01/11/2024,492.23,7993265,492.54,503.41,483.82,278
01/10/2024,478.33,4342448,481.6,487,472.95,279
01/09/2024,482.09,3526757,475.53,485.085,473.8,280
01/08/2024,485.03,3675775,473.89,485.24,473.65,281
01/05/2024,474.06,2631250,476.5,479.545,471.804,282
01/04/2024,474.67,3636513,472.98,480.7393,466.53,283
01/03/2024,470.26,3443694,467.32,475.05,465.7727,284
01/02/2024,468.5,5049423,483.185,484.65,461.86,285
12/29/2023,486.88,2740555,490.37,492.2299,481.935,286
12/28/2023,490.51,1710492,492,492.89,489.07,287
12/27/2023,491.79,2561330,491.24,494.015,489.25,288
12/26/2023,491.19,2034517,489.39,491.48,486.38,289
12/22/2023,486.76,2702672,494,496.02,485.45,290
12/21/2023,491.61,2756225,492.66,494.4,486.77,291
12/20/2023,489.27,4563690,492,500.89,488.39,292
12/19/2023,495.02,3849014,488.4,496.14,484.06,293
