Date,Close/Last,Volume,Open,High,Low,Day,Source
07/10/2020,548.73,21605590,519.73,555.8799,511.28,96,nasdaq
07/13/2020,525.5,18399020,567.98,575.37,520.96,97,nasdaq
07/14/2020,524.88,15083300,517.08,525.5,490.49,98,nasdaq
07/15/2020,523.26,10066650,516.3,529,510.18,99,nasdaq
07/16/2020,527.39,24498990,526.48,535.54,504.3627,100,nasdaq
07/17/2020,492.99,24991350,494.87,503.59,484.14,101,nasdaq
07/20/2020,502.41,11940310,489.14,504.5,484.2001,102,nasdaq
07/21/2020,490.1,9127218,506,506.22,488.61,103,nasdaq
07/22/2020,489.82,6954078,492.19,497.2,487.2,104,nasdaq
07/23/2020,477.58,7722034,491.13,491.9,472.0201,105,nasdaq
07/24/2020,480.45,7746247,468.77,487.17,467.54,106,nasdaq
07/27/2020,495.65,7863069,484.51,496.92,482.31,107,nasdaq
07/28/2020,488.51,5986727,496.02,497.7927,487.7601,108,nasdaq
07/29/2020,484.48,6611769,492.25,494.92,484.13,109,nasdaq
07/30/2020,485.8,6608569,480.7072,488.35,477.5101,110,nasdaq
07/31/2020,488.88,5924310,488.29,494.8,484.5,111,nasdaq
08/03/2020,498.62,5876190,490.86,503.09,490.23,112,nasdaq
08/04/2020,509.64,5607968,498.65,510.4436,498.65,113,nasdaq
08/05/2020,502.11,4313526,508.68,510.1021,501.2,114,nasdaq
08/06/2020,509.08,3725861,504.11,510.82,498.7,115,nasdaq
08/07/2020,494.73,5910348,505.45,508.29,486.68,116,nasdaq
08/10/2020,483.38,4691185,493.35,497.4584,478.6269,117,nasdaq
08/11/2020,466.93,7329226,479.75,480.92,466.55,118,nasdaq
08/12/2020,475.47,5441243,471.34,482.49,470.18,119,nasdaq
08/13/2020,481.33,3008933,478.4,484.45,476.45,120,nasdaq
08/14/2020,482.68,2943487,482.82,488.325,480.21,121,nasdaq
08/17/2020,482.35,2423545,484.19,486.24,479.1,122,nasdaq
08/18/2020,491.87,3505518,484.35,495.3,482.8,123,nasdaq
08/19/2020,484.53,3156218,493.93,494.4985,483.5,124,nasdaq
08/20/2020,497.9,5132480,484.69,498.94,483.89,125,nasdaq
08/21/2020,492.31,3921293,496.46,498.13,490,126,nasdaq
08/24/2020,488.81,4762183,495.438,501,483.16,127,nasdaq
08/25/2020,490.58,5727721,488.19,492.47,485.09,128,nasdaq
08/26/2020,547.53,20373680,492.5,549.04,492.075,129,nasdaq
08/27/2020,526.27,9062912,537.775,541,521.2471,130,nasdaq
08/28/2020,523.89,4417517,532,539,522,131,nasdaq
08/31/2020,529.56,4941409,521.16,531.99,517.58,132,nasdaq
09/01/2020,556.55,9581907,532.6,557.3895,532.45,133,nasdaq
09/02/2020,552.84,5886930,553.78,556.5,537.369,134,nasdaq
09/03/2020,525.75,9071089,545,554,521.32,135,nasdaq
09/04/2020,516.05,8270118,520.18,527.36,485.98,136,nasdaq
09/08/2020,507.02,5572684,498.4,522,495,137,nasdaq
09/09/2020,500.19,6848127,519.21,520,492.5743,138,nasdaq
09/10/2020,480.67,6240181,503.35,506.29,478.84,139,nasdaq
09/11/2020,482.03,5035200,486.485,493.73,476.81,140,nasdaq
09/14/2020,476.26,7359126,480.62,488.99,471.3001,141,nasdaq
09/15/2020,495.99,5336992,484,497.47,481.63,142,nasdaq
09/16/2020,483.86,4401412,499.99,504.66,483.31,143,nasdaq
09/17/2020,470.2,5379301,475.16,478.4,463.27,144,nasdaq
09/18/2020,469.96,6717711,472.51,479.4,458.6,145,nasdaq
09/21/2020,487.35,5457539,467.692,487.775,466.32,146,nasdaq
09/22/2020,491.17,3482324,489.01,491.82,479.26,147,nasdaq
09/23/2020,470.61,3726423,491.04,491.04,469,148,nasdaq
09/24/2020,473.08,3727201,470.53,477,467.82,149,nasdaq
09/25/2020,482.88,3769436,474.39,484.87,468.0258,150,nasdaq
09/28/2020,490.65,4773497,489.109,492,477.88,151,nasdaq
09/29/2020,493.48,3543193,489.5,496.2868,486.53,152,nasdaq
09/30/2020,500.03,4634111,492.57,504.63,489.2704,153,nasdaq
10/01/2020,527.51,8153710,506.03,529.55,503.6,154,nasdaq
10/02/2020,503.06,6071165,516.43,526.3714,502.7,155,nasdaq
10/05/2020,520.65,4088069,506.8,520.99,501.6997,156,nasdaq
10/06/2020,505.87,4199034,518.72,521.82,504.16,157,nasdaq
10/07/2020,534.66,7988683,518,536.49,515.815,158,nasdaq
10/08/2020,531.79,5386488,533.48,535,524.15,159,nasdaq
10/09/2020,539.44,4781259,537.834,544.28,535,160,nasdaq
10/12/2020,539.81,5391074,548.81,551.81,538.24,161,nasdaq
10/13/2020,554.09,5602498,540.56,557.65,537.2,162,nasdaq
10/14/2020,541.45,9510081,562.61,572.49,541,163,nasdaq
10/15/2020,541.94,5113126,545.52,551.22,535.1,164,nasdaq
10/16/2020,530.79,6347363,549.5,554.33,530.03,165,nasdaq
10/19/2020,530.72,7567506,537.07,541.8,525.38,166,nasdaq
10/20/2020,525.42,10047180,528.14,533.78,522.26,167,nasdaq
10/21/2020,489.05,17405710,501.03,506.85,488.25,168,nasdaq
10/22/2020,485.23,6997922,494.69,495.14,482,169,nasdaq
10/23/2020,488.28,4927862,488.11,490.06,481.35,170,nasdaq
10/26/2020,488.24,6186087,487.025,496.82,478.9,171,nasdaq
10/27/2020,488.93,3627175,490.01,490.49,482.93,172,nasdaq
10/28/2020,486.24,5992731,486.36,494,483.28,173,nasdaq
10/29/2020,504.21,11120690,488.5,513.8999,479.34,174,nasdaq
10/30/2020,475.74,7813897,502.01,505.88,472.21,175,nasdaq
11/02/2020,484.12,4408193,478.87,486.3,475,176,nasdaq
11/03/2020,487.22,3690213,484.93,495.305,478.76,177,nasdaq
11/04/2020,496.95,5137330,495.36,507.73,493.98,178,nasdaq
11/05/2020,513.76,5372781,506.56,518.7337,503.45,179,nasdaq
11/06/2020,514.73,4236349,515,515.21,502.51,180,nasdaq
11/09/2020,470.5,10419680,485.54,495.85,467.26,181,nasdaq
11/10/2020,480.24,8306142,470.95,484.6,463.41,182,nasdaq
11/11/2020,490.76,5460532,483,491.68,478.26,183,nasdaq
11/12/2020,486.77,5071155,491,496.52,480.4255,184,nasdaq
11/13/2020,482.84,3006510,486.77,488.94,477.8,185,nasdaq
11/16/2020,479.1,3953563,480,485.58,477.3,186,nasdaq
11/17/2020,480.63,3698082,480.12,487.51,478.8525,187,nasdaq
11/18/2020,481.79,3629237,481.95,488.61,477.7212,188,nasdaq
11/19/2020,484.67,2254653,482,487.8,480.47,189,nasdaq
11/20/2020,488.24,4255924,485.22,494.76,481.57,190,nasdaq
11/23/2020,476.62,5416571,490.46,491.15,475.84,191,nasdaq
11/24/2020,482.88,3557894,478.84,484.05,475.89,192,nasdaq
11/25/2020,485,3598629,485.13,486.9,478.919,193,nasdaq
11/27/2020,491.36,2805762,486.58,493.25,481.845,194,nasdaq
11/30/2020,490.7,3530940,490.08,492.55,481.2678,195,nasdaq
12/01/2020,504.58,5063234,492.3404,509.47,491.9812,196,nasdaq
12/02/2020,503.38,3028358,501.62,506.795,493.5,197,nasdaq
